epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
1,0,206.75124,206.65553,1.06250,1222
1,10,163.07965,162.98523,1.04901,414
1,20,148.96503,148.87002,1.05580,362
1,30,140.55529,140.46069,1.05116,352
1,40,135.45383,135.35937,1.04916,362
1,50,135.50259,135.40806,1.05009,367
1,60,136.92180,136.82712,1.05174,307
1,70,138.55095,138.45638,1.05051,416
1,80,142.19983,142.10520,1.05122,365
1,90,146.20605,146.11142,1.05117,371
1,100,150.74578,150.65110,1.05167,326
1,110,154.78501,154.69035,1.05145,367
epoch,itr,total_loss,pred_loss,sigreg_loss,time (ms)
1,0,209.32677,209.23302,1.03906,1087
1,10,166.58441,166.48915,1.05753,315
1,20,148.85511,148.75955,1.06138,328
1,30,140.85796,140.76274,1.05771,373
1,40,137.39601,137.30061,1.05983,318
1,50,138.58387,138.48862,1.05806,342
1,60,139.32553,139.23027,1.05827,297
1,70,140.54140,140.44632,1.05612,335
1,80,141.75781,141.66278,1.05546,359
1,90,143.05976,142.96480,1.05460,308
1,100,144.43636,144.34152,1.05330,306
1,110,145.29108,145.19624,1.05321,369
1,120,145.95704,145.86221,1.05327,334
1,130,147.25061,147.15575,1.05361,309
1,140,148.86937,148.77445,1.05436,319
1,150,147.43784,147.34289,1.05464,336
1,160,143.63688,143.54192,1.05478,322
1,170,138.71918,138.62419,1.05519,323
1,180,133.07121,132.97622,1.05512,298
1,190,127.11437,127.01944,1.05448,370
1,200,121.27789,121.18299,1.05418,336
1,210,116.09972,116.00480,1.05439,337
1,220,112.92672,112.83181,1.05426,299
1,230,112.32108,112.22622,1.05374,338
1,240,115.10473,115.00988,1.05362,310
1,250,119.33299,119.23814,1.05354,381
1,260,122.21965,122.12481,1.05364,376
1,270,124.45413,124.35930,1.05342,350
1,280,126.70157,126.60673,1.05352,312
1,290,129.04162,128.94681,1.05321,369
1,300,131.40563,131.31082,1.05321,328
1,310,133.83935,133.74454,1.05321,360
1,320,136.30175,136.20693,1.05335,393
1,330,138.76719,138.67238,1.05325,369
1,340,140.65820,140.56342,1.05299,298
1,350,139.94697,139.85220,1.05280,353
1,360,137.51798,137.42319,1.05304,343
1,370,134.91674,134.82197,1.05277,357
